	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
3697	C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)CC1	O00329	IC50	Homo sapiens	6.638272163982407	230.0	CHEMBL3909068	CHEMBL3130	True
3701	C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	O00329	IC50	Homo sapiens	8.823908740944319	1.5	CHEMBL3979343	CHEMBL3130	True
3860	C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)CC1	O00329	IC50	Homo sapiens	6.920818753952375	120.0	CHEMBL3918001	CHEMBL3130	True
3862	C=CC(=O)NC1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	O00329	IC50	Homo sapiens	7.698970004336019	20.0	CHEMBL3889977	CHEMBL3130	True
4603	C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5ccc(F)nc5)cc4c32)cc1	O00329	IC50	Homo sapiens	5.896196279044043	1270.0	CHEMBL4535121	CHEMBL3130	False
4604	C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)cc1	O00329	IC50	Homo sapiens	6.560667306169737	275.0	CHEMBL4246563	CHEMBL3130	True
4611	C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ncc(-c5cccnc5)cc4c32)cc1	O00329	IC50	Homo sapiens	6.0	1000.0	CHEMBL4528988	CHEMBL3130	False
4983	C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5ccc(F)nc5)cc4c32)c1	O00329	IC50	Homo sapiens	6.036212172654443	920.0	CHEMBL4564014	CHEMBL3130	True
4986	C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)c1	O00329	IC50	Homo sapiens	6.769551078621726	170.0	CHEMBL4559706	CHEMBL3130	True
9196	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL4516194	CHEMBL3130	True
9200	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.400007822415903	39.81	CHEMBL4556864	CHEMBL3130	True
9204	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.799970733446231	15.85	CHEMBL4443987	CHEMBL3130	True
9217	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	8.199970640755865	6.31	CHEMBL4580111	CHEMBL3130	True
9221	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.899974269892138	12.59	CHEMBL4583106	CHEMBL3130	True
9225	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.700057099977232	19.95	CHEMBL4576565	CHEMBL3130	True
9229	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.500038134403808	31.62	CHEMBL4458909	CHEMBL3130	True
9233	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.999994853671372	10.2665	CHEMBL4454271_CHEMBL4462986	CHEMBL3130	True
9237	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	8.199970640755865	6.31	CHEMBL4437468	CHEMBL3130	True
9394	CC(=O)N1C(C)CN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)CC1C	O00329	IC50	Homo sapiens	8.853871964321762	1.4	CHEMBL4083625	CHEMBL3130	False
9419	CC(=O)N1CC(C)N(c2cc(F)cc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	O00329	IC50	Homo sapiens	9.045757490560677	0.9	CHEMBL4091002	CHEMBL3130	False
9423	CC(=O)N1CC(C)N(c2cncc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	O00329	IC50	Homo sapiens	9.221848749616356	0.6	CHEMBL4083212	CHEMBL3130	False
10203	CC(=O)N1CCN(c2cc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)ccn2)CC1	O00329	IC50	Homo sapiens	8.2839966563652	5.2	CHEMBL4080063	CHEMBL3130	False
10236	CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(=O)C1	O00329	IC50	Homo sapiens	8.259637310505756	5.5	CHEMBL4081103	CHEMBL3130	False
10240	CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C(F)(F)F)C1	O00329	IC50	Homo sapiens	9.096910013008056	0.8	CHEMBL4097699	CHEMBL3130	False
10241	CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	O00329	IC50	Homo sapiens	8.769551078621726	1.7	CHEMBL4083101	CHEMBL3130	False
10242	CC(=O)N1CCN(c2cccc(-c3cc(-c4cnn(C)c4)c4c(N)ncnn34)c2)C(=O)C1(C)C	O00329	IC50	Homo sapiens	8.003502450784326	14.05	CHEMBL4105075	CHEMBL3130	False
10243	CC(=O)N1CCN(c2cccc(-c3cc(C#N)c4c(N)ncnn34)c2)C(=O)C1(C)C	O00329	IC50	Homo sapiens	7.872363747448348	20.5	CHEMBL4092240	CHEMBL3130	False
10244	CC(=O)N1CCN(c2cccc(-c3cc(C)c4c(N)ncnn34)c2)C(=O)C1(C)C	O00329	IC50	Homo sapiens	7.5882628854148475	41.5	CHEMBL4102444	CHEMBL3130	False
10245	CC(=O)N1CCN(c2cccc(-c3cc(Cl)c4c(N)ncnn34)c2C)C(=O)C1(C)C	O00329	IC50	Homo sapiens	7.0	100.0	CHEMBL4088567	CHEMBL3130	False
10832	CC(=O)N=c1[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1	O00329	IC50	Homo sapiens	7.017164014389946	98.5	CHEMBL1229535	CHEMBL3130	True
12375	CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.299988937677887	50.12	CHEMBL4555758	CHEMBL3130	True
12379	CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL4465563	CHEMBL3130	True
12383	CC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL4448306	CHEMBL3130	True
12399	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.199970640755867	63.1	CHEMBL4580546	CHEMBL3130	True
12403	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL4469603	CHEMBL3130	True
12407	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	6.5999976540720455	251.19	CHEMBL4435258	CHEMBL3130	True
12411	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	6.699991797446188	199.53	CHEMBL4441686	CHEMBL3130	True
12415	CC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	6.800003501330773	184.71666666666667	CHEMBL4444263_CHEMBL4465671_CHEMBL4537126	CHEMBL3130	True
